Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
oneself,,,,,,,,,,should've,,,,,,,,,,,,men,,,,fantastic*,magnific*,masochis*,,,,feels,,,,,,,,,watch*,,,,prick*,,,,decay*,sped,,,,scien*,,,,,,,,,
only,,,,,,,,,,showed,,,,,,,,,,,,men'*,,,,fatal*,merit*,melanchol*,,,,felt,,,,,,,,,weight,,,,prognos*,,,,december,speed*,,,,secretar*,,,,,,,,,
onto,,,,,,,,,,slept,,,,,,,,,,,,mention*,,,,fatigu*,merr*,mess,,,,fenc*,,,,,,,,,weighted,,,,prostat*,,,,deep*,spring,,,,sector*,,,,,,,,,
or,,,,,,,,,,sold,,,,,,,,,,,,messag*,,,,fault*,neat*,messy,,,,figur*,,,,,,,,,weighting,,,,prostitu*,,,,delay*,stage,,,,semester*,,,,,,,,,
other,,,,,,,,,,spent,,,,,,,,,,,,met,,,,favor*,nice*,miser*,,,,find*,,,,,,,,,weightless*,,,,prozac,,,,deliver*,stair*,,,,senior*,,,,,,,,,
others,,,,,,,,,,spoke*,,,,,,,,,,,,mob,,,,favour*,nurtur*,miss,,,,forbid*,,,,,,,,,weightlift*,,,,prude,,,,dense,stand,,,,servic*,,,,,,,,,
otherwise,,,,,,,,,,start,,,,,,,,,,,,mobb*,,,,fear,ok,missed,,,,force*,,,,,,,,,weights,,,,prudes,,,,densit*,start,,,,session*,,,,,,,,,
ought,,,,,,,,,,started,,,,,,,,,,,,mobs,,,,feared,okay,misses,,,,forever,,,,,,,,,wet,,,,prudish*,,,,depart,started,,,,sickday*,,,,,,,,,
oughta,,,,,,,,,,starts,,,,,,,,,,,,mom,,,,fearful*,okays,missing,,,,forgave,,,,,,,,,wetly,,,,pubic,,,,departed,starter*,,,,sickleave*,,,,,,,,,
oughtnt,,,,,,,,,,stayed,,,,,,,,,,,,momma*,,,,fearing,oks,mistak*,,,,forget*,,,,,,,,,whiff*,,,,puk*,,,,departing,starting,,,,sophom*,,,,,,,,,
ought'nt,,,,,,,,,,stood,,,,,,,,,,,,mommy*,,,,fearless*,openminded*,mock,,,,forgiv*,,,,,,,,,whisper*,,,,pulse,,,,departs,starts,,,,sororit*,,,,,,,,,
oughtn't,,,,,,,,,,stopped,,,,,,,,,,,,moms,,,,fears,openness,mocked,,,,forgot*,,,,,,,,,white*,,,,puss,,,,departure*,startup*,,,,staff*,,,,,,,,,
oughtve,,,,,,,,,,stuck,,,,,,,,,,,,mom's,,,,feroc*,opportun*,mocker*,,,,found,,,,,,,,,whitish*,,,,pussies,,,,depth*,state ,,,,stapl*,,,,,,,,,
ought've,,,,,,,,,,studied,,,,,,,,,,,,mother,,,,festiv*,optimal*,mocking,,,,foundation*,,,,,,,,,yell,,,,pussy*,,,,diagonal*,stay*,,,,stipend*,,,,,,,,,
our,,,,,,,,,,suck,,,,,,,,,,,,motherly,,,,feud*,optimi*,mocks,,,,founded,,,,,,,,,yelled,,,,queas*,,,,disappear*,step,,,,stock,,,,,,,,,
ours,,,,,,,,,,sucked,,,,,,,,,,,,mothers,,,,fiery,original,molest*,,,,founder*,,,,,,,,,yelling,,,,queer*,,,,distan*,stepp*,,,,stocked,,,,,,,,,
ourselves,,,,,,,,,,sucks,,,,,,,,,,,,mr ,,,,fiesta*,outgoing,mooch*,,,,frankly,,,,,,,,,yellow*,,,,rape*,,,,down,steps,,,,stocker,,,,,,,,,
out,,,,,,,,,,suffered,,,,,,,,,,,,mrs,,,,fight*,painl*,moodi*,,,,fundamental,,,,,,,,,yells,,,,raping,,,,downward*,still,,,,stocks,,,,,,,,,
outside,,,,,,,,,,support,,,,,,,,,,,,mum,,,,fine,palatabl*,moody,,,,fundamentalis*,,,,,,,,,yum*,,,,rapist*,,,,drift*,stop,,,,student*,,,,,,,,,
over,,,,,,,,,,supported,,,,,,,,,,,,mummy*,,,,fired,paradise,moron*,,,,fundamentally,,,,,,,,,,,,,rash*,,,,drive,stopped,,,,studied,,,,,,,,,
own,,,,,,,,,,supports,,,,,,,,,,,,mums,,,,flatter*,partie*,mourn*,,,,fundamentals,,,,,,,,,,,,,rehab*,,,,driven,stopper*,,,,studies,,,,,,,,,
part,,,,,,,,,,suppose,,,,,,,,,,,,mum's,,,,flawless*,party*,murder*,,,,fuzz*,,,,,,,,,,,,,restau*,,,,drives,stopper*,,,,studious,,,,,,,,,
partly,,,,,,,,,,supposed,,,,,,,,,,,,name,,,,flexib*,passion*,nag*,,,,general,,,,,,,,,,,,,retina*,,,,driving,stopping,,,,study*,,,,,,,,,
perhaps,,,,,,,,,,supposes,,,,,,,,,,,,negotiat*,,,,flirt*,peace*,nast*,,,,generally,,,,,,,,,,,,,rib,,,,drop ,stops,,,,succeed*,,,,,,,,,
piec*,,,,,,,,,,take,,,,,,,,,,,,neighbor*,,,,flunk*,perfect*,needy,,,,generate*,,,,,,,,,,,,,ribs,,,,drove,straight,,,,success*,,,,,,,,,
plenty,,,,,,,,,,taken,,,,,,,,,,,,neighbour*,,,,foe*,play,neglect*,,,,generating,,,,,,,,,,,,,ritalin,,,,due,street*,,,,supervis*,,,,,,,,,
plus,,,,,,,,,,takes,,,,,,,,,,,,nephew*,,,,fond,played,nerd*,,,,generator*,,,,,,,,,,,,,rx,,,,during,stretch*,,,,syllabus*,,,,,,,,,
primarily,,,,,,,,,,taking,,,,,,,,,,,,newborn*,,,,fondly,playful*,nervous*,,,,grasp*,,,,,,,,,,,,,salad*,,,,earli*,subsequen*,,,,taught,,,,,,,,,
probably,,,,,,,,,,talked,,,,,,,,,,,,niece*,,,,fondness,playing,neurotic*,,,,guarant*,,,,,,,,,,,,,saliv*,,,,early,sudden*,,,,tax,,,,,,,,,
quarter*,,,,,,,,,,taught,,,,,,,,,,,,offer*,,,,fool*,plays,numb*,,,,guard*,,,,,,,,,,,,,sandwich*,,,,east*,summer*,,,,taxa*,,,,,,,,,
quick*,,,,,,,,,,tend,,,,,,,,,,,,organiz*,,,,forbid*,pleasant*,obnoxious*,,,,guess,,,,,,,,,,,,,scab*,,,,edge,sunday*,,,,taxed,,,,,,,,,
rarely,,,,,,,,,,tended,,,,,,,,,,,,our,,,,forgave,please*,obsess*,,,,guessed,,,,,,,,,,,,,scalp,,,,edges,surfac*,,,,taxes,,,,,,,,,
rather,,,,,,,,,,tends,,,,,,,,,,,,ours,,,,forgiv*,pleasing,offence*,,,,guesses,,,,,,,,,,,,,schizophren*,,,,edging,surround*,,,,taxing,,,,,,,,,
really,,,,,,,,,,thank,,,,,,,,,,,,ourselves,,,,fought,pleasur*,offend*,,,,guessing,,,,,,,,,,,,,scrape*,,,,empt*,swam,,,,teach*,,,,,,,,,
remaining,,,,,,,,,,thanked,,,,,,,,,,,,outsider*,,,,frantic*,popular*,offens*,,,,halfass*,,,,,,,,,,,,,screw*,,,,enclos*,swim*,,,,team*,,,,,,,,,
rest,,,,,,,,,,thanks,,,,,,,,,,,,overhear*,,,,freak*,positiv*,outrag*,,,,halt*,,,,,,,,,,,,,seduc*,,,,encompass*,synch*,,,,tenure*,,,,,,,,,
same,,,,,,,,,,thatd,,,,,,,,,,,,owner*,,,,free,prais*,overwhelm*,,,,hangup*,,,,,,,,,,,,,seizure*,,,,end,system*,,,,test,,,,,,,,,
second,,,,,,,,,,that'd,,,,,,,,,,,,pa,,,,freeb*,precious*,pain,,,,hardly,,,,,,,,,,,,,sensation,,,,ended,tall,,,,tested,,,,,,,,,
section,,,,,,,,,,thatll,,,,,,,,,,,,pal,,,,freed*,prettie*,pained,,,,harness*,,,,,,,,,,,,,sensations,,,,ending,taller,,,,testing,,,,,,,,,
seriously,,,,,,,,,,that'll,,,,,,,,,,,,pals,,,,freeing,pretty,painf*,,,,hazie*,,,,,,,,,,,,,servings,,,,ends,tallest,,,,tests,,,,,,,,,
seven*,,,,,,,,,,thats,,,,,,,,,,,,pappy,,,,freely,pride,paining,,,,hazy,,,,,,,,,,,,,sex*,,,,enorm*,tempora*,,,,textbook*,,,,,,,,,
several,,,,,,,,,,that's,,,,,,,,,,,,parent*,,,,freeness,privileg*,pains,,,,held,,,,,,,,,,,,,shirt*,,,,enter,term ,,,,theses,,,,,,,,,
shall,,,,,,,,,,theres,,,,,,,,,,,,participant*,,,,freer,prize*,panic*,,,,hence,,,,,,,,,,,,,shit*,,,,entered,terminat*,,,,thesis,,,,,,,,,
shant,,,,,,,,,,there's,,,,,,,,,,,,participat*,,,,frees*,profit*,paranoi*,,,,hesita*,,,,,,,,,,,,,shoe*,,,,entering,territor*,,,,toefl,,,,,,,,,
shan't,,,,,,,,,,theyd,,,,,,,,,,,,partie*,,,,friend*,promis*,pathetic*,,,,hold*,,,,,,,,,,,,,shoulder*,,,,enters,then,,,,trade*,,,,,,,,,
she,,,,,,,,,,they'd,,,,,,,,,,,,partner*,,,,fright*,proud*,peculiar*,,,,hope,,,,,,,,,,,,,sick,,,,entrance*,thick*,,,,trading,,,,,,,,,
she'd,,,,,,,,,,theyll,,,,,,,,,,,,party*,,,,frustrat*,radian*,perver*,,,,hoped,,,,,,,,,,,,,sickday*,,,,environment*,thin,,,,transcript*,,,,,,,,,
she'll,,,,,,,,,,they'll,,,,,,,,,,,,pa's,,,,fuck,readiness,pessimis*,,,,hopeful,,,,,,,,,,,,,sicker,,,,era,thinly,,,,transfer*,,,,,,,,,
shes,,,,,,,,,,theyre,,,,,,,,,,,,people*,,,,fucked*,ready,petrif*,,,,hopefully,,,,,,,,,,,,,sickest,,,,etern*,thinn*,,,,tutor*,,,,,,,,,
she's,,,,,,,,,,they're,,,,,,,,,,,,person,,,,fucker*,reassur*,pettie*,,,,hopefulness,,,,,,,,,,,,,sickleave*,,,,eve,threw,,,,type*,,,,,,,,,
should,,,,,,,,,,theyve,,,,,,,,,,,,personal,,,,fuckin*,relax*,petty*,,,,hopes,,,,,,,,,,,,,sickly,,,,evening*,throw*,,,,typing,,,,,,,,,
shouldnt,,,,,,,,,,they've,,,,,,,,,,,,persons,,,,fucks,relief,phobi*,,,,hoping,,,,,,,,,,,,,sickness*,,,,event,thursday*,,,,undergrad*,,,,,,,,,
should'nt,,,,,,,,,,think,,,,,,,,,,,,person's,,,,fume*,reliev*,piss*,,,,how,,,,,,,,,,,,,sinus*,,,,eventually,til,,,,underpaid,,,,,,,,,
shouldn't,,,,,,,,,,thinks,,,,,,,,,,,,persua*,,,,fuming,resolv*,piti*,,,,hows,,,,,,,,,,,,,skelet*,,,,ever,till,,,,unemploy*,,,,,,,,,
shouldve,,,,,,,,,,thought,,,,,,,,,,,,phone*,,,,fun,respect ,pity* ,,,,how's,,,,,,,,,,,,,skin,,,,everyday,time*,,,,universit*,,,,,,,,,
should've,,,,,,,,,,threw,,,,,,,,,,,,phoning,,,,funn*,revigor*,poison*,,,,hypothes*,,,,,,,,,,,,,skinni*,,,,everywhere,timing,,,,unproduc*,,,,,,,,,
since,,,,,,,,,,told,,,,,,,,,,,,prais*,,,,furious*,reward*,prejudic*,,,,hypothetic*,,,,,,,,,,,,,skinny*,,,,exit*,tinier,,,,upperclass*,,,,,,,,,
singl*,,,,,,,,,,took,,,,,,,,,,,,private,,,,fury,rich*,pressur*,,,,idea,,,,,,,,,,,,,skull,,,,explor*,tiniest,,,,varsit*,,,,,,,,,
six*,,,,,,,,,,tried,,,,,,,,,,,,provide,,,,geek*,ROFL,prick*,,,,ideal*,,,,,,,,,,,,,sleep*,,,,exterior*,tiny,,,,vita,,,,,,,,,
so,,,,,,,,,,tries,,,,,,,,,,,,public,,,,genero*,romanc*,problem*,,,,ideas,,,,,,,,,,,,,slender*,,,,fade*,today*,,,,vitas,,,,,,,,,
some,,,,,,,,,,try,,,,,,,,,,,,question*,,,,gentle,romantic*,protest,,,,identif*,,,,,,,,,,,,,slept,,,,fading*,together,,,,vocation*,,,,,,,,,
somebod*,,,,,,,,,,turn,,,,,,,,,,,,reassur*,,,,gentler,safe*,protested,,,,if,,,,,,,,,,,,,slut*,,,,fall,tomorrow*,,,,vp*,,,,,,,,,
somehow,,,,,,,,,,turned,,,,,,,,,,,,receiv*,,,,gentlest,satisf*,protesting,,,,ignit*,,,,,,,,,,,,,smok*,,,,fallen,tonight*,,,,wage,,,,,,,,,
someone*,,,,,,,,,,turns,,,,,,,,,,,,refus*,,,,gently,save,puk*,,,,ignor*,,,,,,,,,,,,,snack*,,,,falling,took,,,,wages,,,,,,,,,
something*,,,,,,,,,,understand,,,,,,,,,,,,relationship*,,,,giggl*,scrumptious*,punish*,,,,imagin*,,,,,,,,,,,,,soda*,,,,falls,top,,,,warehous*,,,,,,,,,
somewhat,,,,,,,,,,understands,,,,,,,,,,,,relatives,,,,giver*,secur*,rage*,,,,implica*,,,,,,,,,,,,,sore*,,,,far,toward*,,,,welfare,,,,,,,,,
somewhere,,,,,,,,,,understood,,,,,,,,,,,,replie*,,,,giving,sentimental*,raging,,,,implicit*,,,,,,,,,,,,,spat,,,,farther,town,,,,work ,,,,,,,,,
soon,,,,,,,,,,use,,,,,,,,,,,,reply*,,,,glad,share,rancid*,,,,implie*,,,,,,,,,,,,,spinal,,,,farthest,transact*,,,,workabl*,,,,,,,,,
sooo*,,,,,,,,,,used,,,,,,,,,,,,request*,,,,gladly,shared,rape*,,,,imply*,,,,,,,,,,,,,spine,,,,fast,transport*,,,,worked,,,,,,,,,
still,,,,,,,,,,uses,,,,,,,,,,,,respond*,,,,glamor*,shares,raping,,,,impossib*,,,,,,,,,,,,,spit,,,,faster,travel*,,,,worker*,,,,,,,,,
stuff,,,,,,,,,,using,,,,,,,,,,,,role*,,,,glamour*,sharing,rapist*,,,,inact*,,,,,,,,,,,,,spits,,,,fastest,trip,,,,working*,,,,,,,,,
such,,,,,,,,,,viewed,,,,,,,,,,,,roomate*,,,,gloom*,silli*,rebel*,,,,inadequa*,,,,,,,,,,,,,spitting,,,,february,tripped,,,,works,,,,,,,,,
ten,,,,,,,,,,wait,,,,,,,,,,,,roomed,,,,glori*,silly,reek*,,,,inclu*,,,,,,,,,,,,,starve*,,,,fell,tripping,,,,xerox*,,,,,,,,,
tenth,,,,,,,,,,waited,,,,,,,,,,,,roomie*,,,,glory,sincer*,regret*,,,,incomplet*,,,,,,,,,,,,,starving,,,,fill*,trips,,,,,,,,,,,,,
than,,,,,,,,,,waits,,,,,,,,,,,,rooming,,,,goddam*,smart*,reject*,,,,indecis*,,,,,,,,,,,,,std*,,,,final ,tuesday*,,,,,,,,,,,,,
that,,,,,,,,,,walked,,,,,,,,,,,,roommate*,,,,good,smil*,reluctan*,,,,indeed,,,,,,,,,,,,,stiff*,,,,finally,under,,,,,,,,,,,,,
thatd,,,,,,,,,,want,,,,,,,,,,,,rumor*,,,,goodness,sociab*,remorse*,,,,indefinit*,,,,,,,,,,,,,stomach*,,,,finish*,underneath,,,,,,,,,,,,,
that'd,,,,,,,,,,wanted,,,,,,,,,,,,rumour*,,,,gorgeous*,soulmate*,repress*,,,,independ*,,,,,,,,,,,,,strept*,,,,first,undersid*,,,,,,,,,,,,,
thatll,,,,,,,,,,wants,,,,,,,,,,,,said,,,,gossip*,special,resent*,,,,indetermin*,,,,,,,,,,,,,stroke*,,,,firstly,universe*,,,,,,,,,,,,,
that'll,,,,,,,,,,was,,,,,,,,,,,,say*,,,,grace,splend*,resign*,,,,indirect*,,,,,,,,,,,,,stud,,,,firsts,until,,,,,,,,,,,,,
thats,,,,,,,,,,wasnt,,,,,,,,,,,,secret,,,,graced,strength*,restless*,,,,induc*,,,,,,,,,,,,,stuffed,,,,fit,up,,,,,,,,,,,,,
that's,,,,,,,,,,wasn't,,,,,,,,,,,,secretive*,,,,graceful*,strong*,revenge*,,,,inevitab*,,,,,,,,,,,,,sugar*,,,,fled,updat*,,,,,,,,,,,,,
the,,,,,,,,,,we'd,,,,,,,,,,,,secrets,,,,graces,succeed*,ridicul*,,,,infallib*,,,,,,,,,,,,,sunburn*,,,,flee*,upon,,,,,,,,,,,,,
thee,,,,,,,,,,we'll,,,,,,,,,,,,self ,,,,graci*,success*,rigid*,,,,infer,,,,,,,,,,,,,supper*,,,,flew,upper,,,,,,,,,,,,,
their*,,,,,,,,,,went,,,,,,,,,,,,send*,,,,grand,sunnier,risk*,,,,inferr*,,,,,,,,,,,,,surgeon*,,,,flies,uppermost,,,,,,,,,,,,,
them,,,,,,,,,,were,,,,,,,,,,,,sent,,,,grande*,sunniest,rotten,,,,infers,,,,,,,,,,,,,surger*,,,,floor*,upstairs,,,,,,,,,,,,,
themselves,,,,,,,,,,we're,,,,,,,,,,,,share,,,,gratef*,sunny,rude*,,,,influenc*,,,,,,,,,,,,,swallow*,,,,flow*,usual,,,,,,,,,,,,,
then,,,,,,,,,,weren't,,,,,,,,,,,,shared,,,,grati*,sunshin*,ruin*,,,,info,,,,,,,,,,,,,sweat*,,,,fly,usually,,,,,,,,,,,,,
there,,,,,,,,,,weve,,,,,,,,,,,,shares,,,,grave*,super,sad,,,,inform,,,,,,,,,,,,,swelling,,,,flying,vast*,,,,,,,,,,,,,
theres,,,,,,,,,,we've,,,,,,,,,,,,sharing,,,,great,superior*,sadde*,,,,information,,,,,,,,,,,,,swollen,,,,follow,verg*,,,,,,,,,,,,,
there's,,,,,,,,,,whats,,,,,,,,,,,,she,,,,greed*,support,sadly,,,,informative*,,,,,,,,,,,,,symptom*,,,,followed,vertical*,,,,,,,,,,,,,
these,,,,,,,,,,what's,,,,,,,,,,,,she'd,,,,grief,supported,sadness,,,,informed,,,,,,,,,,,,,syndrome*,,,,following,visit*,,,,,,,,,,,,,
they,,,,,,,,,,wheres,,,,,,,,,,,,she'll,,,,griev*,supporter*,sarcas*,,,,informing,,,,,,,,,,,,,syphili*,,,,follows,walk,,,,,,,,,,,,,
theyd,,,,,,,,,,where's,,,,,,,,,,,,shes,,,,grim*,supporting,savage*,,,,informs,,,,,,,,,,,,,tast*,,,,followup*,walked,,,,,,,,,,,,,
they'd,,,,,,,,,,whod,,,,,,,,,,,,she's,,,,grin,supportive*,scare*,,,,inhib*,,,,,,,,,,,,,tea,,,,forever,walking,,,,,,,,,,,,,
theyll,,,,,,,,,,who'd,,,,,,,,,,,,sir,,,,grinn*,supports,scaring,,,,inquir*,,,,,,,,,,,,,teeth*,,,,former*,walks,,,,,,,,,,,,,
they'll,,,,,,,,,,wholl,,,,,,,,,,,,sis,,,,grins,suprem*,scary,,,,inside,,,,,,,,,,,,,tender*,,,,forward*,wall,,,,,,,,,,,,,
theyre,,,,,,,,,,who'll,,,,,,,,,,,,sister*,,,,gross*,sure*,sceptic*,,,,insight*,,,,,,,,,,,,,tendon ,,,,frequent,walling,,,,,,,,,,,,,
they're,,,,,,,,,,whos,,,,,,,,,,,,social*,,,,grouch*,surpris*,scream*,,,,inspir*,,,,,,,,,,,,,tendoni*,,,,frequented,walls,,,,,,,,,,,,,
theyve,,,,,,,,,,who's,,,,,,,,,,,,societ*,,,,grr*,sweet,screw*,,,,intend*,,,,,,,,,,,,,tendons,,,,frequenting,way ,,,,,,,,,,,,,
they've,,,,,,,,,,will,,,,,,,,,,,,somebod*,,,,guilt*,sweetheart*,selfish*,,,,intent*,,,,,,,,,,,,,testosterone*,,,,frequently,wednesday*,,,,,,,,,,,,,
thine,,,,,,,,,,wish,,,,,,,,,,,,someone*,,,,ha,sweetie*,serious,,,,interfer*,,,,,,,,,,,,,therap*,,,,frequents,week,,,,,,,,,,,,,
thing*,,,,,,,,,,wished,,,,,,,,,,,,son,,,,haha*,sweetly,seriously,,,,interpret*,,,,,,,,,,,,,thermometer*,,,,Friday*,week'*,,,,,,,,,,,,,
third,,,,,,,,,,wishes,,,,,,,,,,,,sons,,,,handsom*,sweetness*,seriousness,,,,into,,,,,,,,,,,,,thigh*,,,,front,weekend*,,,,,,,,,,,,,
thirt*,,,,,,,,,,woke,,,,,,,,,,,,son's,,,,happi*,sweets,severe*,,,,invariab*,,,,,,,,,,,,,thirst*,,,,full*,weekl*,,,,,,,,,,,,,
this,,,,,,,,,,woken,,,,,,,,,,,,soulmate*,,,,happy,talent*,shake*,,,,irrational*,,,,,,,,,,,,,throat*,,,,further*,weeks,,,,,,,,,,,,,
tho,,,,,,,,,,won,,,,,,,,,,,,speak,,,,harass*,tehe,shaki*,,,,irrefu*,,,,,,,,,,,,,throb*,,,,futur*,went,,,,,,,,,,,,,
those,,,,,,,,,,wonder,,,,,,,,,,,,speaking,,,,harm,tender*,shaky,,,,issue,,,,,,,,,,,,,thyroid*,,,,generation*,west*,,,,,,,,,,,,,
thou,,,,,,,,,,wondered,,,,,,,,,,,,speaks,,,,harmed,terrific*,shame*,,,,just,,,,,,,,,,,,,tingl*,,,,giant*,when,,,,,,,,,,,,,
though,,,,,,,,,,wont,,,,,,,,,,,,spoke*,,,,harmful*,thank,shit*,,,,justif*,,,,,,,,,,,,,tire*,,,,gigantic,whenever,,,,,,,,,,,,,
thousand*,,,,,,,,,,won't,,,,,,,,,,,,spous*,,,,harming,thanked,shock*,,,,keep,,,,,,,,,,,,,tiring,,,,ginormous,where,,,,,,,,,,,,,
thoust,,,,,,,,,,wore,,,,,,,,,,,,stepchild*,,,,harmless*,thankf*,shook,,,,keeping*,,,,,,,,,,,,,tit,,,,global*,wheres,,,,,,,,,,,,,
three,,,,,,,,,,worked,,,,,,,,,,,,stepfat*,,,,harmon*,thanks,shy*,,,,keeps,,,,,,,,,,,,,tits,,,,go,where's,,,,,,,,,,,,,
through*,,,,,,,,,,worn,,,,,,,,,,,,stepkid*,,,,harms,thoughtful*,sicken*,,,,kept,,,,,,,,,,,,,titties,,,,,wherever,,,,,,,,,,,,,
thru,,,,,,,,,,would,,,,,,,,,,,,stepmot*,,,,hate,thrill*,sin,,,,kind (of),,,,,,,,,,,,,titty,,,,,while,,,,,,,,,,,,,
thy,,,,,,,,,,wouldnt,,,,,,,,,,,,stories,,,,hated,toleran*,sinister,,,,kinda,,,,,,,,,,,,,toe,,,,,whilst,,,,,,,,,,,,,
til,,,,,,,,,,wouldn't,,,,,,,,,,,,story,,,,hateful*,tranquil*,sins,,,,kindof,,,,,,,,,,,,,toenail*,,,,,wide*,,,,,,,,,,,,,
till,,,,,,,,,,wouldve,,,,,,,,,,,,suggest*,,,,hater*,treasur*,skeptic*,,,,knew,,,,,,,,,,,,,toes,,,,,width*,,,,,,,,,,,,,
to,,,,,,,,,,would've,,,,,,,,,,,,sweetheart*,,,,hates,treat,slut*,,,,know,,,,,,,,,,,,,tongue*,,,,,winter*,,,,,,,,,,,,,
ton,,,,,,,,,,written,,,,,,,,,,,,sweetie*,,,,hating,triumph*,smother*,,,,knowab*,,,,,,,,,,,,,tonsils,,,,,within,,,,,,,,,,,,,
tons,,,,,,,,,,wrote,,,,,,,,,,,,talk,,,,hatred,true ,smug*,,,,knower*,,,,,,,,,,,,,tooth*,,,,,world,,,,,,,,,,,,,
too,,,,,,,,,,youd,,,,,,,,,,,,talkative*,,,,hazy,trueness,,,,,knowing,,,,,,,,,,,,,tox*,,,,,year ,,,,,,,,,,,,,
total,,,,,,,,,,you'd,,,,,,,,,,,,talked,,,,heartbreak*,truer,,,,,knowledg*,,,,,,,,,,,,,tricep*,,,,,yearly,,,,,,,,,,,,,
totally,,,,,,,,,,youll,,,,,,,,,,,,talker*,,,,heartbroke*,truest,,,,,known,,,,,,,,,,,,,tumo*,,,,,years,,,,,,,,,,,,,
toward*,,,,,,,,,,you'll,,,,,,,,,,,,talking,,,,heartfelt,truly,,,,,knows,,,,,,,,,,,,,twitch*,,,,,yesterday*,,,,,,,,,,,,,
trillion*,,,,,,,,,,youre,,,,,,,,,,,,talks,,,,heartless*,trust*,,,,,lack*,,,,,,,,,,,,,tylenol,,,,,yet,,,,,,,,,,,,,
tripl*,,,,,,,,,,you're,,,,,,,,,,,,team*,,,,heartwarm*,truth*,,,,,launch*,,,,,,,,,,,,,ulcer*,,,,,young*,,,,,,,,,,,,,
truly,,,,,,,,,,youve,,,,,,,,,,,,teas*,,,,heaven*,useful*,,,,,law,,,,,,,,,,,,,unhealth*,,,,,youth*,,,,,,,,,,,,,
twel*,,,,,,,,,,you've,,,,,,,,,,,,telephon*,,,,heh*,valuabl*,,,,,lead*,,,,,,,,,,,,,urin*,,,,,,,,,,,,,,,,,,
twent*,,,,,,,,,,,,,,,,,,,,,,tell,,,,hell,value,,,,,learn*,,,,,,,,,,,,,uter*,,,,,,,,,,,,,,,,,,
twice,,,,,,,,,,,,,,,,,,,,,,telling,,,,hellish,valued,,,,,led,,,,,,,,,,,,,vagina*,,,,,,,,,,,,,,,,,,
two,,,,,,,,,,,,,,,,,,,,,,tells,,,,helper*,values,,,,,lesson*,,,,,,,,,,,,,vd,,,,,,,,,,,,,,,,,,
uhuh,,,,,,,,,,,,,,,,,,,,,,thee,,,,helpful*,valuing,,,,,liabilit*,,,,,,,,,,,,,veget*,,,,,,,,,,,,,,,,,,
under,,,,,,,,,,,,,,,,,,,,,,their*,,,,helping,vigor*,,,,,likel*,,,,,,,,,,,,,veggie*,,,,,,,,,,,,,,,,,,
underneath,,,,,,,,,,,,,,,,,,,,,,them,,,,helpless*,vigour*,,,,,limit*,,,,,,,,,,,,,vein*,,,,,,,,,,,,,,,,,,
unique,,,,,,,,,,,,,,,,,,,,,,themselves,,,,helps,virtue*,,,,,link*,,,,,,,,,,,,,vertigo,,,,,,,,,,,,,,,,,,
unless,,,,,,,,,,,,,,,,,,,,,,they,,,,hero*,virtuo*,,,,,logic*,,,,,,,,,,,,,viagra,,,,,,,,,,,,,,,,,,
until,,,,,,,,,,,,,,,,,,,,,,theyd,,,,hesita*,vital*,,,,,lot,,,,,,,,,,,,,vicodin,,,,,,,,,,,,,,,,,,
unto,,,,,,,,,,,,,,,,,,,,,,they'd,,,,hilarious,warm*,,,,,lotof,,,,,,,,,,,,,virgin*,,,,,,,,,,,,,,,,,,
up,,,,,,,,,,,,,,,,,,,,,,theyll,,,,hoho*,wealth*,,,,,lots ,,,,,,,,,,,,,vitamin*,,,,,,,,,,,,,,,,,,
upon,,,,,,,,,,,,,,,,,,,,,,they'll,,,,homesick*,welcom*,,,,,lotsa,,,,,,,,,,,,,vomit*,,,,,,,,,,,,,,,,,,
us,,,,,,,,,,,,,,,,,,,,,,theyre,,,,honest*,well*,,,,,lotta,,,,,,,,,,,,,waist*,,,,,,,,,,,,,,,,,,
usually,,,,,,,,,,,,,,,,,,,,,,they're,,,,honor*,win,,,,,luck,,,,,,,,,,,,,wake,,,,,,,,,,,,,,,,,,
various,,,,,,,,,,,,,,,,,,,,,,theyve,,,,honour*,winn*,,,,,lucked,,,,,,,,,,,,,wart,,,,,,,,,,,,,,,,,,
very,,,,,,,,,,,,,,,,,,,,,,they've,,,,hope,wins,,,,,lucki*,,,,,,,,,,,,,warts,,,,,,,,,,,,,,,,,,
wanna,,,,,,,,,,,,,,,,,,,,,,thine,,,,hoped,wisdom,,,,,luckless*,,,,,,,,,,,,,wash,,,,,,,,,,,,,,,,,,
was,,,,,,,,,,,,,,,,,,,,,,thou,,,,hopeful,wise*,,,,,lucks,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,
wasnt,,,,,,,,,,,,,,,,,,,,,,thoust,,,,hopefully,won,,,,,lucky,,,,,,,,,,,,,weak*,,,,,,,,,,,,,,,,,,
