Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
arent,lets,she's,,,,,,those,,believed,don't,drove,depends,that'll,maybe,near,,no,full*,zero,homo,boyf*,mom,roomie*,kids*,amaz*,benefits,awful,suffered,cruel*,grief,always,cohere*,depended,need'nt,disorient*,ever,curb*,,,concert*,orange*,say*,heavy*,estrogen*,breast*,chills,genital*,diner,infinit*,change,city,bimonth*,calculus,confidence,cd*,duplex*,cent,devil*,grave*,,,
aren't,let's,thee,,,,,,what,,believes,had,eaten,describe,theyll,mostly,of,,nobod*,greater,zillion*,jeez,boy's,momma*,roommate*,ladies,amor*,benefitt*,awkward*,sufferer*,cunt*,griev*,ambigu*,complex*,depending,needn't,doubt*,every,curtail*,,,cool*,picture,scream*,hot,exercis*,breath*,chiropract*,gonorrhea,diners,initial*,changed,close,birth*,campus*,confident,celebrat*,families*,cents,divin*,grief,,,
around,me,their*,,,,,,whatever,,bought,hadnt,emailed,describes,they'll,nearly,off,,none,greatest,,mofo,boys*,mommy*,soulmate*,lady,amus*,benevolen*,bad,suffering,cut,grim*,anal,complica*,depends,needs,dubious*,everybod*,defenc*,,,cream,pink*,shout*,hott*,exhaust*,butt,chlamydia,hiv,dines,initiat*,changes,closed,biweek*,career*,confidently,celebrit*,family,charit*,doom*,griev*,,,
as,mine,them,,,,,,whats,,bring,hadn't,ended,dies,we'll,now,on,,nope,highly,,motherf*,bro,moms,sweetheart*,lady's,anger*,benign*,bashful*,suffers,cynic*,heartbreak*,analy*,compreh*,effect*,normal,dunno,everything*,defens*,,,deaf*,purpl*,silen*,leather*,eye*,butts,chok*,ho,dining,inner*,changing,closer,born,ceo*,conquer*,channel*,fireplace*,cheap*,episcopal*,hearse*,,,
at,my,themselves,,,,,,what's,,brings,has,entered,dislike,wholl,often,onto,,nor,increas*,,nigger*,bros,mom's,sweetie*,ma'am,angr*,best,bastard*,suspicio*,damn*,heartbroke*,and,concentrat*,elicit*,ought,fairly,evident*,delay*,,,delectabl*,rectang*,song*,limp*,face,cheek*,cholester*,homo,dinner*,inside,climb*,closest,busy,certif*,conscientious*,chat*,fridge*,check,evangel*,holocaust*,,,
atho,myself,they,,,,,,which,,brought,hasnt,explained,dislikes,who'll,only,out,,not,item*,,piss*,brother*,mother,,male,anguish*,better,battl*,tantrum*,danger*,helpless*,answer*,conclud*,experiment,oughta,fuzz*,exact*,denia*,,,delicious*,red,sound*,loose*,faces,chest*,chronic*,homos,dish,insides,closely,connection*,bye,chairm*,control*,checkers,furniture,checking,faith*,homocid*,,,
atop,nobod*,theyd,,,,,,whichever,,called,hasn't,fed,do,will,perhaps,outside,,nothing,lack*,,prick*,bud,mothers,,males,annoy*,bless*,beaten,tears,defenc*,homesick*,any,conclus*,force*,oughtnt,generally,explicit*,denie*,,,deoder*,redde*,speak,press,facial*,clothes,clinic*,homosexual*,dishes,instan*,closes,corner,cease*,chalk,create*,chess,futon*,checks,fundamentalis*,immortal*,,,
away,oneself,they'd,,,,,,who,,came,have,felt,does,wont,primarily,over,,nowhere,least,,pussy*,buddies*,mum,,male's,antagoni*,bold*,bitch*,teas*,defens*,hopeless*,anybod*,confess*,foundation*,ought'nt,guess,extremely,deny*,,,drie*,reddish*,speaker*,pressed,faint*,cock,codeine,hornie*,drank,interior*,closing,corners,ceasing,challeng*,creati*,chillin*,garage*,chequ*,gentile*,kill*,,,
back,other,theyll,,,,,,whod,,can,havent,fled,doesnt,won't,probably,plus,,oughtnt,less,,queer*,buddy*,mummy*,,mam,anxi*,bonus*,bitter*,temper,despis*,hurt*,anyhow,conscious*,founded,oughtn't,guessed,fact,disciplin*,,,drily,redness,speaking,presser*,farsighted,cocks*,colono*,horny,drink*,internal*,come,countr*,centur*,champ*,crown*,choir*,garden*,coin,god'*,lethal*,,,
basically,others,they'll,,,,,,who'd,,cannot,haven't,flew,doesn't,would,push*,since,,ought'nt,loads,,screw*,bye,mums,,man,aok,brave*,blam*,tempers,destroy*,inadequa*,anyone*,consider,founder*,oughtve,guesses,facts,discourag*,,,drool*,reds,speaks,presses,fat,colon,coma*,hug,drunk*,internation*,comes,coverage,childhood,class,defeat*,chorus,gate*,coins,gospel*,lynch*,,,
